Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Agra,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,61.0
Agra,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,279.0
Agra,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,400.0
Agra,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,370.0
Agra,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,655.0
Agra,Impacting Vehicle/Object,Two Wheelers,Persons Killed,77.0
Agra,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,224.0
Agra,Impacting Vehicle/Object,Two Wheelers,Minor Injury,301.0
Agra,Impacting Vehicle/Object,Two Wheelers,Total Injured,395.0
Agra,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,919.0
Agra,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,81.0
Agra,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,62.0
Agra,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,329.0
Agra,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,316.0
Agra,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,963.0
Agra,Impacting Vehicle/Object,Buses,Persons Killed,59.0
Agra,Impacting Vehicle/Object,Buses,Greviously Injured,50.0
Agra,Impacting Vehicle/Object,Buses,Minor Injury,206.0
Agra,Impacting Vehicle/Object,Buses,Total Injured,114.0
Agra,Impacting Vehicle/Object,Buses,Total number of Accidents,264.0
Agra,Impacting Vehicle/Object,Pedestrian,Persons Killed,88.0
Agra,Impacting Vehicle/Object,Pedestrian,Greviously Injured,18.0
Agra,Impacting Vehicle/Object,Pedestrian,Minor Injury,393.0
Agra,Impacting Vehicle/Object,Pedestrian,Total Injured,228.0
Agra,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,847.0
Agra,Weather,Sunny/Clear,Persons Killed,87.0
Agra,Weather,Sunny/Clear,Greviously Injured,72.0
Agra,Weather,Sunny/Clear,Minor Injury,188.0
Agra,Weather,Sunny/Clear,Total Injured,598.0
Agra,Weather,Sunny/Clear,Total number of Accidents,792.0
Agra,Weather,Rainy,Persons Killed,7.0
Agra,Weather,Rainy,Greviously Injured,172.0
Agra,Weather,Rainy,Minor Injury,468.0
Agra,Weather,Rainy,Total Injured,388.0
Agra,Weather,Rainy,Total number of Accidents,578.0
Agra,Weather,Foggy and Misty,Persons Killed,4.0
Agra,Weather,Foggy and Misty,Greviously Injured,240.0
Agra,Weather,Foggy and Misty,Minor Injury,90.0
Agra,Weather,Foggy and Misty,Total Injured,127.0
Agra,Weather,Foggy and Misty,Total number of Accidents,334.0
Agra,Weather,Hail/Sleet,Persons Killed,72.0
Agra,Weather,Hail/Sleet,Greviously Injured,277.0
Agra,Weather,Hail/Sleet,Minor Injury,467.0
Agra,Weather,Hail/Sleet,Total Injured,132.0
Agra,Weather,Hail/Sleet,Total number of Accidents,1271.0
Agra,Traffic Violation,Drunken Driving,Persons Killed,22.0
Agra,Traffic Violation,Drunken Driving,Greviously Injured,71.0
Agra,Traffic Violation,Drunken Driving,Minor Injury,265.0
Agra,Traffic Violation,Drunken Driving,Total Injured,198.0
Agra,Traffic Violation,Drunken Driving,Total number of Accidents,883.0
Agra,Traffic Violation,Over Speeding,Persons Killed,85.0
Agra,Traffic Violation,Over Speeding,Greviously Injured,44.0
Agra,Traffic Violation,Over Speeding,Minor Injury,498.0
Agra,Traffic Violation,Over Speeding,Total Injured,712.0
Agra,Traffic Violation,Over Speeding,Total number of Accidents,842.0
Agra,Traffic Violation,Jumping Red Light,Persons Killed,0.0
Agra,Traffic Violation,Jumping Red Light,Greviously Injured,14.0
Agra,Traffic Violation,Jumping Red Light,Minor Injury,267.0
Agra,Traffic Violation,Jumping Red Light,Total Injured,602.0
Agra,Traffic Violation,Jumping Red Light,Total number of Accidents,966.0
Agra,Traffic Violation,Use of Mobile Phone,Persons Killed,13.0
Agra,Traffic Violation,Use of Mobile Phone,Greviously Injured,292.0
Agra,Traffic Violation,Use of Mobile Phone,Minor Injury,442.0
Agra,Traffic Violation,Use of Mobile Phone,Total Injured,306.0
Agra,Traffic Violation,Use of Mobile Phone,Total number of Accidents,1238.0
Agra,Traffic Violation,Wrong Side Driving,Persons Killed,89.0
Agra,Traffic Violation,Wrong Side Driving,Greviously Injured,51.0
Agra,Traffic Violation,Wrong Side Driving,Minor Injury,429.0
Agra,Traffic Violation,Wrong Side Driving,Total Injured,560.0
Agra,Traffic Violation,Wrong Side Driving,Total number of Accidents,1063.0
Delhi,Traffic Control,Traffic Light Signal,Persons Killed,51.0
Delhi,Traffic Control,Traffic Light Signal,Greviously Injured,105.0
Delhi,Traffic Control,Traffic Light Signal,Minor Injury,437.0
Delhi,Traffic Control,Traffic Light Signal,Total Injured,584.0
Delhi,Traffic Control,Traffic Light Signal,Total number of Accidents,430.0
Delhi,Traffic Control,Stop Sign,Persons Killed,14.0
Delhi,Traffic Control,Stop Sign,Greviously Injured,180.0
Delhi,Traffic Control,Stop Sign,Minor Injury,78.0
Delhi,Traffic Control,Stop Sign,Total Injured,135.0
Delhi,Traffic Control,Stop Sign,Total number of Accidents,724.0
Delhi,Traffic Control,Police Controlled,Persons Killed,31.0
Delhi,Traffic Control,Police Controlled,Greviously Injured,196.0
Delhi,Traffic Control,Police Controlled,Minor Injury,292.0
Delhi,Traffic Control,Police Controlled,Total Injured,185.0
Delhi,Traffic Control,Police Controlled,Total number of Accidents,777.0
Delhi,Traffic Control,Flashing Signal/Blinker,Persons Killed,41.0
Delhi,Traffic Control,Flashing Signal/Blinker,Greviously Injured,54.0
Delhi,Traffic Control,Flashing Signal/Blinker,Minor Injury,111.0
Delhi,Traffic Control,Flashing Signal/Blinker,Total Injured,745.0
Delhi,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,995.0
Delhi,Junction,Four arm Junction,Persons Killed,27.0
Delhi,Junction,Four arm Junction,Greviously Injured,117.0
Delhi,Junction,Four arm Junction,Minor Injury,93.0
Delhi,Junction,Four arm Junction,Total Injured,439.0
Delhi,Junction,Four arm Junction,Total number of Accidents,1454.0
Delhi,Junction,T Junction,Persons Killed,61.0
Delhi,Junction,T Junction,Greviously Injured,234.0
Delhi,Junction,T Junction,Minor Injury,434.0
Delhi,Junction,T Junction,Total Injured,476.0
Delhi,Junction,T Junction,Total number of Accidents,832.0
Delhi,Junction,Y Junction,Persons Killed,76.0
Delhi,Junction,Y Junction,Greviously Injured,242.0
Delhi,Junction,Y Junction,Minor Injury,308.0
Delhi,Junction,Y Junction,Total Injured,458.0
Delhi,Junction,Y Junction,Total number of Accidents,909.0
Delhi,Junction,Round about Junction,Persons Killed,71.0
Delhi,Junction,Round about Junction,Greviously Injured,146.0
Delhi,Junction,Round about Junction,Minor Injury,367.0
Delhi,Junction,Round about Junction,Total Injured,776.0
Delhi,Junction,Round about Junction,Total number of Accidents,1448.0
Delhi,Junction,Uncontrolled,Persons Killed,50.0
Delhi,Junction,Uncontrolled,Greviously Injured,243.0
Delhi,Junction,Uncontrolled,Minor Injury,221.0
Delhi,Junction,Uncontrolled,Total Injured,763.0
Delhi,Junction,Uncontrolled,Total number of Accidents,1456.0
Delhi,Road Features,Straight Road,Persons Killed,51.0
Delhi,Road Features,Straight Road,Greviously Injured,122.0
Delhi,Road Features,Straight Road,Minor Injury,367.0
Delhi,Road Features,Straight Road,Total Injured,596.0
Delhi,Road Features,Straight Road,Total number of Accidents,641.0
Delhi,Road Features,Curved Road,Persons Killed,51.0
Delhi,Road Features,Curved Road,Greviously Injured,277.0
Delhi,Road Features,Curved Road,Minor Injury,344.0
Delhi,Road Features,Curved Road,Total Injured,485.0
Delhi,Road Features,Curved Road,Total number of Accidents,1336.0
Delhi,Road Features,Bridge,Persons Killed,55.0
Delhi,Road Features,Bridge,Greviously Injured,90.0
Delhi,Road Features,Bridge,Minor Injury,236.0
Delhi,Road Features,Bridge,Total Injured,212.0
Delhi,Road Features,Bridge,Total number of Accidents,201.0
Delhi,Road Features,Pot Holes,Persons Killed,1.0
Delhi,Road Features,Pot Holes,Greviously Injured,229.0
Delhi,Road Features,Pot Holes,Minor Injury,103.0
Delhi,Road Features,Pot Holes,Total Injured,324.0
Delhi,Road Features,Pot Holes,Total number of Accidents,584.0
Delhi,Road Features,Steep Grade,Persons Killed,18.0
Delhi,Road Features,Steep Grade,Greviously Injured,135.0
Delhi,Road Features,Steep Grade,Minor Injury,179.0
Delhi,Road Features,Steep Grade,Total Injured,152.0
Delhi,Road Features,Steep Grade,Total number of Accidents,929.0
Delhi,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,31.0
Delhi,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,207.0
Delhi,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,465.0
Delhi,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,346.0
Delhi,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,1035.0
Delhi,Impacting Vehicle/Object,Two Wheelers,Persons Killed,54.0
Delhi,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,212.0
Delhi,Impacting Vehicle/Object,Two Wheelers,Minor Injury,233.0
Delhi,Impacting Vehicle/Object,Two Wheelers,Total Injured,222.0
Delhi,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,600.0
Delhi,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,37.0
Delhi,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,289.0
Delhi,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,374.0
Delhi,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,709.0
Delhi,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,397.0
Delhi,Impacting Vehicle/Object,Buses,Persons Killed,85.0
Delhi,Impacting Vehicle/Object,Buses,Greviously Injured,249.0
Delhi,Impacting Vehicle/Object,Buses,Minor Injury,193.0
Delhi,Impacting Vehicle/Object,Buses,Total Injured,708.0
Delhi,Impacting Vehicle/Object,Buses,Total number of Accidents,1424.0
Delhi,Impacting Vehicle/Object,Pedestrian,Persons Killed,58.0
Delhi,Impacting Vehicle/Object,Pedestrian,Greviously Injured,268.0
Delhi,Impacting Vehicle/Object,Pedestrian,Minor Injury,197.0
Delhi,Impacting Vehicle/Object,Pedestrian,Total Injured,502.0
Delhi,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,346.0
Delhi,Weather,Sunny/Clear,Persons Killed,19.0
Delhi,Weather,Sunny/Clear,Greviously Injured,208.0
Delhi,Weather,Sunny/Clear,Minor Injury,357.0
Delhi,Weather,Sunny/Clear,Total Injured,588.0
Delhi,Weather,Sunny/Clear,Total number of Accidents,1128.0
Delhi,Weather,Rainy,Persons Killed,39.0
Delhi,Weather,Rainy,Greviously Injured,137.0
Delhi,Weather,Rainy,Minor Injury,88.0
Delhi,Weather,Rainy,Total Injured,437.0
Delhi,Weather,Rainy,Total number of Accidents,1071.0
Delhi,Weather,Foggy and Misty,Persons Killed,0.0
Delhi,Weather,Foggy and Misty,Greviously Injured,276.0
Delhi,Weather,Foggy and Misty,Minor Injury,490.0
Delhi,Weather,Foggy and Misty,Total Injured,572.0
Delhi,Weather,Foggy and Misty,Total number of Accidents,350.0
Delhi,Weather,Hail/Sleet,Persons Killed,30.0
Delhi,Weather,Hail/Sleet,Greviously Injured,108.0
Delhi,Weather,Hail/Sleet,Minor Injury,312.0
Delhi,Weather,Hail/Sleet,Total Injured,243.0
Delhi,Weather,Hail/Sleet,Total number of Accidents,545.0
Delhi,Traffic Violation,Drunken Driving,Persons Killed,59.0
Delhi,Traffic Violation,Drunken Driving,Greviously Injured,11.0
Delhi,Traffic Violation,Drunken Driving,Minor Injury,434.0
Delhi,Traffic Violation,Drunken Driving,Total Injured,403.0
Delhi,Traffic Violation,Drunken Driving,Total number of Accidents,453.0
Delhi,Traffic Violation,Over Speeding,Persons Killed,11.0
Delhi,Traffic Violation,Over Speeding,Greviously Injured,46.0
Delhi,Traffic Violation,Over Speeding,Minor Injury,209.0
Delhi,Traffic Violation,Over Speeding,Total Injured,108.0
Delhi,Traffic Violation,Over Speeding,Total number of Accidents,1456.0
Delhi,Traffic Violation,Jumping Red Light,Persons Killed,98.0
Delhi,Traffic Violation,Jumping Red Light,Greviously Injured,156.0
Delhi,Traffic Violation,Jumping Red Light,Minor Injury,353.0
Delhi,Traffic Violation,Jumping Red Light,Total Injured,307.0
Delhi,Traffic Violation,Jumping Red Light,Total number of Accidents,1354.0
Delhi,Traffic Violation,Use of Mobile Phone,Persons Killed,19.0
Delhi,Traffic Violation,Use of Mobile Phone,Greviously Injured,161.0
Delhi,Traffic Violation,Use of Mobile Phone,Minor Injury,103.0
Delhi,Traffic Violation,Use of Mobile Phone,Total Injured,219.0
Delhi,Traffic Violation,Use of Mobile Phone,Total number of Accidents,827.0
Delhi,Traffic Violation,Wrong Side Driving,Persons Killed,74.0
Delhi,Traffic Violation,Wrong Side Driving,Greviously Injured,122.0
Delhi,Traffic Violation,Wrong Side Driving,Minor Injury,469.0
Delhi,Traffic Violation,Wrong Side Driving,Total Injured,521.0
Delhi,Traffic Violation,Wrong Side Driving,Total number of Accidents,303.0
Mumbai,Traffic Control,Traffic Light Signal,Persons Killed,83.0
Mumbai,Traffic Control,Traffic Light Signal,Greviously Injured,263.0
Mumbai,Traffic Control,Traffic Light Signal,Minor Injury,276.0
Mumbai,Traffic Control,Traffic Light Signal,Total Injured,211.0
Mumbai,Traffic Control,Traffic Light Signal,Total number of Accidents,709.0
Mumbai,Traffic Control,Stop Sign,Persons Killed,88.0
Mumbai,Traffic Control,Stop Sign,Greviously Injured,108.0
Mumbai,Traffic Control,Stop Sign,Minor Injury,202.0
Mumbai,Traffic Control,Stop Sign,Total Injured,437.0
Mumbai,Traffic Control,Stop Sign,Total number of Accidents,1021.0
Mumbai,Traffic Control,Police Controlled,Persons Killed,34.0
Mumbai,Traffic Control,Police Controlled,Greviously Injured,217.0
Mumbai,Traffic Control,Police Controlled,Minor Injury,494.0
Mumbai,Traffic Control,Police Controlled,Total Injured,780.0
Mumbai,Traffic Control,Police Controlled,Total number of Accidents,360.0
Mumbai,Traffic Control,Flashing Signal/Blinker,Persons Killed,67.0
Mumbai,Traffic Control,Flashing Signal/Blinker,Greviously Injured,298.0
Mumbai,Traffic Control,Flashing Signal/Blinker,Minor Injury,447.0
Mumbai,Traffic Control,Flashing Signal/Blinker,Total Injured,376.0
Mumbai,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,1015.0
Mumbai,Junction,Four arm Junction,Persons Killed,19.0
Mumbai,Junction,Four arm Junction,Greviously Injured,144.0
Mumbai,Junction,Four arm Junction,Minor Injury,244.0
Mumbai,Junction,Four arm Junction,Total Injured,500.0
Mumbai,Junction,Four arm Junction,Total number of Accidents,839.0
Mumbai,Junction,T Junction,Persons Killed,32.0
Mumbai,Junction,T Junction,Greviously Injured,185.0
Mumbai,Junction,T Junction,Minor Injury,492.0
Mumbai,Junction,T Junction,Total Injured,569.0
Mumbai,Junction,T Junction,Total number of Accidents,1245.0
Mumbai,Junction,Y Junction,Persons Killed,29.0
Mumbai,Junction,Y Junction,Greviously Injured,47.0
Mumbai,Junction,Y Junction,Minor Injury,279.0
Mumbai,Junction,Y Junction,Total Injured,464.0
Mumbai,Junction,Y Junction,Total number of Accidents,762.0
Mumbai,Junction,Round about Junction,Persons Killed,53.0
Mumbai,Junction,Round about Junction,Greviously Injured,273.0
Mumbai,Junction,Round about Junction,Minor Injury,332.0
Mumbai,Junction,Round about Junction,Total Injured,126.0
Mumbai,Junction,Round about Junction,Total number of Accidents,425.0
Mumbai,Junction,Uncontrolled,Persons Killed,20.0
Mumbai,Junction,Uncontrolled,Greviously Injured,295.0
Mumbai,Junction,Uncontrolled,Minor Injury,146.0
Mumbai,Junction,Uncontrolled,Total Injured,383.0
Mumbai,Junction,Uncontrolled,Total number of Accidents,1078.0
Mumbai,Road Features,Straight Road,Persons Killed,63.0
Mumbai,Road Features,Straight Road,Greviously Injured,156.0
Mumbai,Road Features,Straight Road,Minor Injury,53.0
Mumbai,Road Features,Straight Road,Total Injured,646.0
Mumbai,Road Features,Straight Road,Total number of Accidents,1415.0
Mumbai,Road Features,Curved Road,Persons Killed,48.0
Mumbai,Road Features,Curved Road,Greviously Injured,26.0
Mumbai,Road Features,Curved Road,Minor Injury,221.0
Mumbai,Road Features,Curved Road,Total Injured,319.0
Mumbai,Road Features,Curved Road,Total number of Accidents,357.0
Mumbai,Road Features,Bridge,Persons Killed,92.0
Mumbai,Road Features,Bridge,Greviously Injured,55.0
Mumbai,Road Features,Bridge,Minor Injury,422.0
Mumbai,Road Features,Bridge,Total Injured,617.0
Mumbai,Road Features,Bridge,Total number of Accidents,298.0
Mumbai,Road Features,Pot Holes,Persons Killed,36.0
Mumbai,Road Features,Pot Holes,Greviously Injured,289.0
Mumbai,Road Features,Pot Holes,Minor Injury,398.0
Mumbai,Road Features,Pot Holes,Total Injured,596.0
Mumbai,Road Features,Pot Holes,Total number of Accidents,501.0
Mumbai,Road Features,Steep Grade,Persons Killed,52.0
Mumbai,Road Features,Steep Grade,Greviously Injured,104.0
Mumbai,Road Features,Steep Grade,Minor Injury,148.0
Mumbai,Road Features,Steep Grade,Total Injured,799.0
Mumbai,Road Features,Steep Grade,Total number of Accidents,1192.0
Mumbai,Impacting Vehicle/Object,Cars/Taxis/Vans,Persons Killed,62.0
Mumbai,Impacting Vehicle/Object,Cars/Taxis/Vans,Greviously Injured,262.0
Mumbai,Impacting Vehicle/Object,Cars/Taxis/Vans,Minor Injury,465.0
Mumbai,Impacting Vehicle/Object,Cars/Taxis/Vans,Total Injured,260.0
Mumbai,Impacting Vehicle/Object,Cars/Taxis/Vans,Total number of Accidents,1479.0
Mumbai,Impacting Vehicle/Object,Two Wheelers,Persons Killed,66.0
Mumbai,Impacting Vehicle/Object,Two Wheelers,Greviously Injured,137.0
Mumbai,Impacting Vehicle/Object,Two Wheelers,Minor Injury,67.0
Mumbai,Impacting Vehicle/Object,Two Wheelers,Total Injured,665.0
Mumbai,Impacting Vehicle/Object,Two Wheelers,Total number of Accidents,769.0
Mumbai,Impacting Vehicle/Object,Trucks/Lorries,Persons Killed,66.0
Mumbai,Impacting Vehicle/Object,Trucks/Lorries,Greviously Injured,183.0
Mumbai,Impacting Vehicle/Object,Trucks/Lorries,Minor Injury,329.0
Mumbai,Impacting Vehicle/Object,Trucks/Lorries,Total Injured,725.0
Mumbai,Impacting Vehicle/Object,Trucks/Lorries,Total number of Accidents,1053.0
Mumbai,Impacting Vehicle/Object,Buses,Persons Killed,22.0
Mumbai,Impacting Vehicle/Object,Buses,Greviously Injured,136.0
Mumbai,Impacting Vehicle/Object,Buses,Minor Injury,204.0
Mumbai,Impacting Vehicle/Object,Buses,Total Injured,589.0
Mumbai,Impacting Vehicle/Object,Buses,Total number of Accidents,984.0
Mumbai,Impacting Vehicle/Object,Pedestrian,Persons Killed,32.0
Mumbai,Impacting Vehicle/Object,Pedestrian,Greviously Injured,255.0
Mumbai,Impacting Vehicle/Object,Pedestrian,Minor Injury,225.0
Mumbai,Impacting Vehicle/Object,Pedestrian,Total Injured,138.0
Mumbai,Impacting Vehicle/Object,Pedestrian,Total number of Accidents,958.0
Mumbai,Weather,Sunny/Clear,Persons Killed,25.0
Mumbai,Weather,Sunny/Clear,Greviously Injured,22.0
Mumbai,Weather,Sunny/Clear,Minor Injury,365.0
Mumbai,Weather,Sunny/Clear,Total Injured,605.0
Mumbai,Weather,Sunny/Clear,Total number of Accidents,1102.0
Mumbai,Weather,Rainy,Persons Killed,56.0
Mumbai,Weather,Rainy,Greviously Injured,45.0
Mumbai,Weather,Rainy,Minor Injury,222.0
Mumbai,Weather,Rainy,Total Injured,119.0
Mumbai,Weather,Rainy,Total number of Accidents,520.0
Mumbai,Weather,Foggy and Misty,Persons Killed,7.0
Mumbai,Weather,Foggy and Misty,Greviously Injured,151.0
Mumbai,Weather,Foggy and Misty,Minor Injury,420.0
Mumbai,Weather,Foggy and Misty,Total Injured,570.0
Mumbai,Weather,Foggy and Misty,Total number of Accidents,243.0
Mumbai,Weather,Hail/Sleet,Persons Killed,91.0
Mumbai,Weather,Hail/Sleet,Greviously Injured,297.0
Mumbai,Weather,Hail/Sleet,Minor Injury,264.0
Mumbai,Weather,Hail/Sleet,Total Injured,150.0
Mumbai,Weather,Hail/Sleet,Total number of Accidents,774.0
Mumbai,Traffic Violation,Drunken Driving,Persons Killed,61.0
Mumbai,Traffic Violation,Drunken Driving,Greviously Injured,134.0
Mumbai,Traffic Violation,Drunken Driving,Minor Injury,199.0
Mumbai,Traffic Violation,Drunken Driving,Total Injured,413.0
Mumbai,Traffic Violation,Drunken Driving,Total number of Accidents,769.0
Mumbai,Traffic Violation,Over Speeding,Persons Killed,85.0
Mumbai,Traffic Violation,Over Speeding,Greviously Injured,189.0
Mumbai,Traffic Violation,Over Speeding,Minor Injury,219.0
Mumbai,Traffic Violation,Over Speeding,Total Injured,153.0
Mumbai,Traffic Violation,Over Speeding,Total number of Accidents,1202.0
Mumbai,Traffic Violation,Jumping Red Light,Persons Killed,59.0
Mumbai,Traffic Violation,Jumping Red Light,Greviously Injured,110.0
Mumbai,Traffic Violation,Jumping Red Light,Minor Injury,313.0
Mumbai,Traffic Violation,Jumping Red Light,Total Injured,152.0
Mumbai,Traffic Violation,Jumping Red Light,Total number of Accidents,1203.0
Mumbai,Traffic Violation,Use of Mobile Phone,Persons Killed,4.0
Mumbai,Traffic Violation,Use of Mobile Phone,Greviously Injured,112.0
Mumbai,Traffic Violation,Use of Mobile Phone,Minor Injury,245.0
Mumbai,Traffic Violation,Use of Mobile Phone,Total Injured,449.0
Mumbai,Traffic Violation,Use of Mobile Phone,Total number of Accidents,246.0
Mumbai,Traffic Violation,Wrong Side Driving,Persons Killed,98.0
Mumbai,Traffic Violation,Wrong Side Driving,Greviously Injured,153.0
Mumbai,Traffic Violation,Wrong Side Driving,Minor Injury,318.0
Mumbai,Traffic Violation,Wrong Side Driving,Total Injured,469.0
Mumbai,Traffic Violation,Wrong Side Driving,Total number of Accidents,835.0
Bengaluru,Traffic Control,Traffic Light Signal,Persons Killed,29.0
Bengaluru,Traffic Control,Traffic Light Signal,Greviously Injured,156.0
Bengaluru,Traffic Control,Traffic Light Signal,Minor Injury,194.0
Bengaluru,Traffic Control,Traffic Light Signal,Total Injured,219.0
Bengaluru,Traffic Control,Traffic Light Signal,Total number of Accidents,1030.0
Bengaluru,Traffic Control,Stop Sign,Persons Killed,18.0
Bengaluru,Traffic Control,Stop Sign,Greviously Injured,101.0
Bengaluru,Traffic Control,Stop Sign,Minor Injury,107.0
Bengaluru,Traffic Control,Stop Sign,Total Injured,445.0
Bengaluru,Traffic Control,Stop Sign,Total number of Accidents,940.0
Bengaluru,Traffic Control,Police Controlled,Persons Killed,89.0
Bengaluru,Traffic Control,Police Controlled,Greviously Injured,126.0
Bengaluru,Traffic Control,Police Controlled,Minor Injury,367.0
Bengaluru,Traffic Control,Police Controlled,Total Injured,226.0
Bengaluru,Traffic Control,Police Controlled,Total number of Accidents,1212.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Greviously Injured,67.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Minor Injury,171.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total Injured,612.0
Bengaluru,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,1001.0
Bengaluru,Junction,Four arm Junction,Persons Killed,95.0
Bengaluru,Junction,Four arm Junction,Greviously Injured,135.0
Bengaluru,Junction,Four arm Junction,Minor Injury,167.0
